Extraction Date,Depart Date,Airline Name,Airline Code,Price,Depart Time,Arrival Time,Duration,Departure Airport,Arrival Airport,Free Checked Baggage,Free Carry On Baggage
2025-07-27,2025-08-07,香港快運航空,UO,784,20:00,01:20,4小時20分,HKG,HND,Yes,NA
2025-07-27,2025-08-07,香港快運航空,UO,864,17:35,22:55,4小時20分,HKG,HND,Yes,NA
2025-07-27,2025-08-07,香港快運航空,UO,920,14:15,19:45,4小時30分,HKG,NRT,Yes,NA
2025-07-27,2025-08-07,香港快運航空,UO,935,09:15,14:45,4小時30分,HKG,NRT,Yes,NA
2025-07-27,2025-08-07,大灣區航空,GB,952,11:10,16:45,4小時35分,HKG,NRT,Yes,NA
2025-07-27,2025-08-07,香港快運航空,UO,957,13:00,18:30,4小時30分,HKG,NRT,Yes,NA
2025-07-27,2025-08-07,香港快運航空,UO,958,10:35,16:05,4小時30分,HKG,NRT,Yes,NA
2025-07-27,2025-08-07,香港快運航空,UO,"1,008",23:40,05:00,4小時20分,HKG,HND,Yes,NA
2025-07-27,2025-08-07,香港航空,HX,"1,031",02:35,08:20,4小時45分,HKG,NRT,Yes,NA
2025-07-27,2025-08-07,香港航空,HX,"1,031",07:40,13:30,4小時50分,HKG,NRT,Yes,NA
2025-07-27,2025-08-07,香港快運航空,UO,"1,104",01:15,06:45,4小時30分,HKG,NRT,Yes,NA
2025-07-27,2025-08-07,香港航空,HX,"1,257",09:10,14:55,4小時45分,HKG,NRT,Yes,NA
2025-07-27,2025-08-07,香港航空,HX,"1,507",14:25,20:00,4小時35分,HKG,NRT,Yes,NA
2025-07-27,2025-08-07,大灣區航空,GB,"1,534",09:20,15:05,4小時45分,HKG,NRT,Yes,NA
2025-07-27,2025-08-07,國泰航空,CX,"5,001",01:20,06:40,4小時20分,HKG,NRT,Yes,NA
2025-07-27,2025-08-07,國泰航空,CX,"5,001",08:15,13:40,4小時25分,HKG,NRT,Yes,NA
2025-07-27,2025-08-07,國泰航空,CX,"5,001",09:05,14:30,4小時25分,HKG,NRT,Yes,NA
2025-07-27,2025-08-07,國泰航空,CX,"5,001",10:40,16:05,4小時25分,HKG,NRT,Yes,NA
2025-07-27,2025-08-07,國泰航空,CX,"5,001",15:10,20:30,4小時20分,HKG,NRT,Yes,NA
2025-07-27,2025-08-07,國泰航空,CX,"5,373",16:20,21:35,4小時15分,HKG,HND,Yes,NA
2025-07-27,2025-08-07,國泰航空,CX,"5,839",08:40,13:55,4小時15分,HKG,HND,Yes,NA
2025-07-27,2025-08-08,香港快運航空,UO,871,13:00,18:30,4小時30分,HKG,NRT,Yes,NA
2025-07-27,2025-08-08,香港快運航空,UO,885,17:35,22:55,4小時20分,HKG,HND,Yes,NA
2025-07-27,2025-08-08,香港快運航空,UO,885,20:00,01:20,4小時20分,HKG,HND,Yes,NA
2025-07-27,2025-08-08,香港快運航空,UO,941,09:15,14:45,4小時30分,HKG,NRT,Yes,NA
2025-07-27,2025-08-08,香港快運航空,UO,941,10:35,16:05,4小時30分,HKG,NRT,Yes,NA
2025-07-27,2025-08-08,大灣區航空,GB,952,11:10,16:45,4小時35分,HKG,NRT,Yes,NA
2025-07-27,2025-08-08,香港快運航空,UO,957,14:15,19:45,4小時30分,HKG,NRT,Yes,NA
2025-07-27,2025-08-08,香港快運航空,UO,"1,134",01:15,06:45,4小時30分,HKG,NRT,Yes,NA
2025-07-27,2025-08-08,香港航空,HX,"1,257",02:35,08:20,4小時45分,HKG,NRT,Yes,NA
2025-07-27,2025-08-08,香港航空,HX,"1,257",14:20,20:00,4小時40分,HKG,NRT,Yes,NA
2025-07-27,2025-08-08,大灣區航空,GB,"1,411",09:20,15:05,4小時45分,HKG,NRT,Yes,NA
2025-07-27,2025-08-08,香港快運航空,UO,"1,436",23:40,05:00,4小時20分,HKG,HND,Yes,NA
2025-07-27,2025-08-08,香港航空,HX,"1,507",08:20,14:10,4小時50分,HKG,NRT,Yes,NA
2025-07-27,2025-08-08,香港航空,HX,"1,507",09:10,14:55,4小時45分,HKG,NRT,Yes,NA
2025-07-27,2025-08-08,國泰航空,CX,"5,001",01:20,06:40,4小時20分,HKG,NRT,Yes,NA
2025-07-27,2025-08-08,國泰航空,CX,"5,001",08:15,13:40,4小時25分,HKG,NRT,Yes,NA
2025-07-27,2025-08-08,國泰航空,CX,"5,001",09:05,14:30,4小時25分,HKG,NRT,Yes,NA
2025-07-27,2025-08-08,國泰航空,CX,"5,001",10:40,16:05,4小時25分,HKG,NRT,Yes,NA
2025-07-27,2025-08-08,國泰航空,CX,"5,001",15:10,20:30,4小時20分,HKG,NRT,Yes,NA
